Cargo Type;Cargo Subtype;Id;Import/Export Status;Operator;Total Weight (MT);Total Quantity;Voyage;Location
Steel Slab;SSA57;SSA56-10U-C-230818A;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA02 SA0101
Steel Slab;SSA32;SSA56-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA03 SA0101
Steel Slab;SSA32;SSA32-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA01 SA0101
Steel Slab;SSA30;SSA30-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA04 SA0101
Steel Slab;SSA31;SSA31-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA05 SA0101
Steel Slab;SSA33;SSA33-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;SA06 SA0101
Steel Slab;SSA57;SSA56-10U-C-230818C;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSA57;SSA56-10U-C-230818D;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSA57;SSA56-10U-C-230818E;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSA56;SSA56-10U-C-230818F;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSB64;SSB64-10U-C-230818A;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSB64;SSB64-10U-C-230818B;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSB64;SSB64-10U-C-230818C;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSB64;SSB64-10U-C-230818D;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSB64;SSB64-10U-C-230818J;Import;ALC;10;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSC22;SSC22-5U-C-230818A;Import;ALC;5;1;V-230706-ALSTA0002;V-230706-ALSTA0002
Steel Slab;SSC22;SSC22-5U-C-230818B;Import;ALC;5;1;V-230706-ALSTA0002;V-230706-ALSTA0002
